anniversary,記念日
bargain,お買い得品
bath,浴室
breakfast,朝食
burial,埋葬
care,世話、介護
celebration,祝賀（会）
ceremony,式、式典
chore,雑用
cleaning,掃除
communication,伝達、意志疎通
conversation,会話、談話
cooking,調理
cruise,漫遊旅行
culture,文化
dining,食事をする
dinner,夕食
divorce,離婚
e-mail,電子メール
festival,祭り
gift,贈り物、寄贈品
hangover,二日酔い
honeymoon,新婚旅行
lottery,宝くじ
lunch,昼食
meditation,瞑想（めいそう）
money,お金、金銭
packing,荷造り
party,宴会
present,贈り物
recreation,娯楽
rendezvous,会う約束
repose,休息
reservation,予約
reunion,同窓会
sewing,裁縫
shopping,買い物
sleep,睡眠
smoking,喫煙
sweep,拭き掃除
tradition,伝統、しきたり
vacation,休暇
wedding,結婚式
antique,古美術品
ballet,バレエ
bowling,ボウリング
chess,チェス
comedy,喜劇
hobby,趣味
journey,旅
movie,映画
photograph,写真
poetry,詩、詩歌
sculpture,彫刻
sightseeing,観光
gymnastics,体操
band,楽団
orchestra,管弦楽団
trio,三人組
biology,生物学
economics,経済学
education,教育
evolution,進化
examination,試験、検査
geography,地理学
homework,宿題
laboratory,実験室
lecture,講義、講演
mathematics,数学
physics,物理学
birthday,誕生日
childhood,子供時代
climax,最高潮
daytime,昼間、日中
dusk,夕暮れ
eternity,永遠、永久
evening,夕方、晩
future,	未来、将来
springtime,春、春期
wintertime,冬、冬期
weekday,平日
clinic,診療所
headache,頭痛
injection,注射
medication,薬剤、薬物
pharmacy,薬局
pneumonia,肺炎
recovery,回復
stomachache,胃痛、腹痛
surgeon,外科医
wheelchair,車椅子
shovel,シャベル、スコップ
weed,雑草
miracle,奇跡
longevity,長寿、長生き
cop,警官
avalanche,雪崩（なだれ）
climate,気候
sunrise,日の出
cloud,雲
