suggestion,提案
inspection,検査
inflation,インフレーション
privilege,特権、特典
sponsor,広告主
expense,経費、出費
management,経営、経理
enterprise,大規模な事業
establishment,設立、創立
export,輸出品
import,輸入品
inquiry,問い合わせ
loan,貸付金
recession,景気後退
value,価値、価格
wage,賃金、給料
commercial,広告放送
incentive,励み、動機。
signature,署名、サイン
employment,雇用
reward,報い、報酬
supply,供給（量）
instruction,指図、指示
load,重さ、圧力
membership,会員、会員権
payment,支払い、支払金
permission,許可、認可
recommendation,推薦、勧告
survey,調査
undertaking,事業、仕事
cooperation,協力、連携
demonstration,実演
deposit,頭金
developer,開発者
discharge,解雇
distribution,配分、配給
headquarters,本社、本部
promotion,昇進、促進
property,性質
retail,小売り
schedule,予定、日程
payday,給料日
stockholder,株主
validity,有効性、効力
valuation,査定。査定額
workflow,仕事の流れ
workload,仕事量
query,質問、疑問
transit,輸送、運送
startup,新興企業
plumber,配管工
tariff,関税
blizzard,猛吹雪
transplant,臓器移植
exemption,免除、控除
generator,発電機
runway,滑走路
briefing,報告会、説明会
fad,流行
intermission,休憩時間、幕間
janitor,管理人、用務員
business,商売、（会社の）業務
campaign,組織的運動
company,会社
cost,費用
deal,取引、契約
department,部門、学部
discount,割引額、割引率
information,情報、知識
job,仕事、役目
leader,指導者
meeting,会議。出会い
member,一員、会員
offer,申し出、提案
office,事務所、営業所
order,注文、命令
plan,計画
practice,練習、実践
price,価格、値段
raise,昇給、賃上げ
record,記録、登録
role,役割
sale,販売
service,サービス、奉仕
share,分け前
bill,請求書、紙幣
bonus,特別手当、賞与
capital,資本金、資産
career,職業、経歴
cash,現金
cent,（通貨単位の）セント
challenge,難題、挑戦
coin,硬貨
debt,借金、負債
dollar,ドル
economy,節約、倹約
estimate,見積もり、評価
fair,合同説明会
fee,謝礼
fund,資金、基金
goods,商品、品物
income,収入、所得
interview,面接、会見
labor,労働、労働者
network,情報網
notice,お知らせ、通知
agent,代理店
appointment,予約、約束
background,経歴、背景
credit,信用取引
equipment,設備、備品
guarantee,保障、確約
achievement,功績、業績
asset,有用な人、有用な事
bid,付け値、入札
boom,にわか景気
commerce,商業、通商
commission,手数料
construction,建造、建設
consumption,消費、消費量
mortgage,住宅ローン
outlet,小売店、直販店
personnel,職員
procedure,やり方、手順
reduction,削減
registration,履修登録
revenue,総収益
supervision,監督、管理
accomplishment,成果、業績
accounting,会計、経理
advertiser,広告主
agenda,議題、協議事項
alliance,同盟、連合
allowance,小遣い。引当金
banking,銀行業
counseling,カウンセリング
dealing,取引関係
deficit,赤字
feedback,反応、意見
innovation,革新
invoice,送り状、請求書
marketing,マーケティング
marketplace,市場、商業界
memorandum,メモ、覚書
motivation,やる気、意欲
overtime,残業
partnership,共同、協力
seminar,研究会
wholesale,卸し売り
broker,仲買人
equity,株価
fishery,漁業、水産業
inventory,目録、一覧表
merger,合併、合同
resume,履歴書、経歴書
subsidiary,子会社、従属会社
takeover,買収、乗っ取り
trademark,商標
treasurer,会計担当者
vacancy,欠員
vendor,販売会社
warranty,保証（期間）
workplace,職場、仕事場
automation,自動化
boardroom,重役会議室
bookkeeping,簿記
businessperson,実業家
conglomerate,複合企業
consignment,委託販売
contraction,収縮、縮小
deadlock,行き詰まり
downsizing,人員削減
flextime,フレックスタイム制度
orientation,説明会
paperwork,書類作成業務
pricing,価格設定
relocation,移転
distributor,販売代理店
premium,保険料
logistics,物流
e-commerce,電子商取引
resignation,辞職、辞任
renewal,更新
quota,割り当て量、定員
layoff,一時解雇
freight,貨物
contractor,請負業者
self-employment,自営業
specification,仕様、仕様書
workforce,全従業員
official,公務員、役人
reporter,報道記者
adviser,助言者、顧問
engineer,技師、技術者
executive,取締役、重役
governor,知事
inspector,検査官、監査人
inventor,発明者、発明家
commander,司令官
carrier,運送業者、通信会社
